40
29	27	1	2
N	0	0	0	0	0
N	9	0	10	2	0
N	9	0	11	3	1
N	10	0	0	4	2
N	11	0	12	5	3
N	12	0	13	6	4
N	13	0	14	7	5
N	13	0	15	8	6
D	3	0	0	0	7
N	9	0	16	10	0
N	9	1	17	11	9
N	9	2	0	0	10
N	15	4	19	13	0
N	14	5	20	14	12
D	3	6	0	0	13
D	3	7	0	0	0
N	9	9	0	17	0
N	9	10	21	0	16
D	3	0	0	19	0
N	16	12	24	20	18
D	3	13	25	0	19
N	7	17	29	22	0
N	8	0	30	23	21
D	3	0	0	24	22
N	17	19	0	25	23
N	17	20	31	0	24
N	25	0	32	27	0
N	5	0	0	0	26
N	6	0	33	29	0
N	4	21	34	30	28
D	3	22	0	0	29
N	19	25	36	0	0
N	19	26	38	0	0
D	3	28	0	0	0
D	3	29	0	0	0
N	21	0	0	36	0
N	20	31	0	37	35
N	22	0	0	38	36
N	23	32	0	39	37
N	24	0	0	0	38
